bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Closure_137,0,6,0.9743,0.5124,0.0000,0.4993
Closure_137,0,7,0.9910,1.0000,0.3333,0.5505
Closure_137,0,8,0.9626,1.0000,0.3333,0.5348
Closure_137,0,9,0.9626,1.0000,0.3333,0.5348
Closure_137,1,2,0.9940,0.3142,0.0000,0.3123
Closure_137,1,3,0.9988,0.3142,0.0000,0.3138
Closure_137,1,4,0.9770,0.4603,0.0000,0.4497
Closure_137,1,5,0.9834,0.5947,0.0000,0.5849
Closure_137,1,6,0.9726,0.4603,0.0000,0.4477
Closure_137,1,7,0.9892,1.0000,0.3333,0.5496
Closure_137,1,8,0.9832,1.0000,0.3333,0.5462
Closure_137,1,9,0.9832,1.0000,0.3333,0.5462
Closure_137,2,3,0.9823,0.0000,0.0000,0.0000
Closure_137,2,4,1.0000,0.4603,0.0000,0.4603
Closure_137,2,5,0.9990,0.5947,0.0000,0.5941
Closure_137,2,6,1.0000,0.4603,0.0000,0.4603
Closure_137,2,7,0.9907,1.0000,0.3333,0.5504
Closure_137,2,8,1.0000,1.0000,0.3333,0.5556
Closure_137,2,9,1.0000,1.0000,0.3333,0.5556
Closure_137,3,4,1.0000,0.4603,0.0000,0.4603
Closure_137,3,5,1.0000,0.5947,0.0000,0.5947
Closure_137,3,6,1.0000,0.4603,0.0000,0.4603
Closure_137,3,7,1.0000,1.0000,0.3333,0.5556
Closure_137,3,8,1.0000,1.0000,0.3333,0.5556
Closure_137,3,9,1.0000,1.0000,0.3333,0.5556
Closure_137,4,5,0.9765,0.5124,0.0000,0.5004
Closure_137,4,6,0.2740,0.5565,0.0000,0.1525
Closure_137,4,7,0.9738,1.0000,0.3333,0.5410
Closure_137,4,8,0.9756,1.0000,0.3333,0.5420
Closure_137,4,9,0.9756,1.0000,0.3333,0.5420
Closure_137,5,6,0.9592,0.6585,0.0000,0.6317
Closure_137,5,7,0.9738,1.0000,0.3333,0.5410
Closure_137,5,8,0.9818,1.0000,0.3333,0.5455
Closure_137,5,9,0.9818,1.0000,0.3333,0.5455
Closure_137,6,7,0.9738,1.0000,0.3333,0.5410
Closure_137,6,8,0.9397,1.0000,0.3333,0.5221
Closure_137,6,9,0.9397,1.0000,0.3333,0.5221
Closure_137,7,8,0.9993,1.0000,0.3333,0.5551
Closure_137,7,9,0.9993,1.0000,0.3333,0.5551
Closure_137,8,9,0.0000,0.4564,0.0000,0.0000
Closure_138,0,1,1.0000,0.4794,0.0000,0.4794
Closure_138,0,2,0.9533,1.0000,0.3333,0.5296
Closure_138,1,2,0.9960,1.0000,0.3333,0.5534
Closure_139,0,1,0.9289,0.3931,0.0000,0.3652
Closure_139,0,2,0.9702,0.3931,0.0000,0.3814
Closure_139,0,3,0.9916,0.6231,0.0000,0.6179
Closure_139,1,2,0.8768,0.0000,0.0000,0.0000
