bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Lang_64,2,1,0.8996,0.3413,0.0,0.2128
Lang_65,3,3,0.964967,0.2994,0.0,0.315
Lang_7,2,1,0.7726,0.4564,0.0,0.2444
Lang_8,3,3,0.9207,0.464733,0.0,0.4701
Math_1,2,1,0.0,1.0,0.2222,0.0
Math_100,2,1,0.7869,0.5321,0.0,0.2902
Math_106,2,1,0.1421,0.0,0.0,0.0
Math_12,2,1,0.9843,0.2058,0.0,0.1404
Math_14,2,1,0.6116,1.0,0.25,0.212
Math_15,2,1,0.9862,0.4453,0.0,0.3044
Math_16,3,3,0.668267,0.189533,0.0,0.1176
Math_18,3,3,0.71,0.576333,0.0,0.4374
Math_21,3,3,0.984467,0.465567,0.0,0.503
Math_22,2,1,0.5843,1.0,0.2222,0.195
Math_23,3,3,0.964033,0.4692,0.0,0.4977
Math_24,2,1,0.0,0.646,0.0,0.0
Math_26,2,1,0.8023,0.6123,0.0,0.3405
Math_28,4,6,0.820567,0.331333,0.0,0.3775
Math_29,2,1,0.5593,0.5377,0.0,0.2085
Math_31,3,3,0.989233,0.217533,0.0,0.2351
Math_35,2,1,0.0,0.6295,0.0,0.0
Math_36,2,1,0.1876,0.4883,0.0,0.0635
Math_37,2,1,0.3398,0.5904,0.0,0.1391
Math_38,2,1,0.8278,0.4735,0.0,0.2717
Math_4,2,1,0.2581,1.0,0.2727,0.0921
Math_44,3,3,0.656733,0.584,0.0,0.4213
Math_46,2,1,0.0,0.736,0.0,0.0
Math_47,4,6,0.964667,0.619417,0.0,0.8268
Math_49,4,6,0.0,0.584,0.0,0.0
Math_52,2,1,0.4771,0.3758,0.0,0.1243
Math_54,2,1,0.9554,0.6934,0.0,0.4592
Math_55,2,1,0.9149,0.0,0.0,0.0
Math_6,12,66,0.835806,0.955776,0.279038,1.0935
Math_61,2,1,0.9822,0.6543,0.0,0.4455
Math_62,2,1,0.84,0.6644,0.0,0.3868
Math_64,10,45,0.941518,0.516516,0.0,1.1211
Math_65,2,1,0.8941,0.584,0.0,0.3619
Math_66,6,15,0.945353,0.37758,0.0,0.636
Math_68,5,10,0.75856,0.49234,0.0,0.6137
Math_7,2,1,0.7255,0.0,0.0,0.0
Math_71,2,1,0.1994,1.0,0.2,0.0645
Math_72,2,1,0.4269,0.5721,0.0,0.1693
Math_76,2,1,0.0408,0.7001,0.0,0.0198
Math_77,2,1,0.9048,1.0,0.2222,0.302
Math_78,2,1,0.9018,0.0,0.0,0.0
Math_81,3,3,0.990733,0.711233,0.0,0.7743
Math_83,2,1,0.9416,0.4644,0.0,0.3031
Math_84,2,1,0.9731,0.416,0.0,0.2806
Math_86,2,1,0.289,0.4644,0.0,0.093
Math_90,2,1,0.6013,0.4255,0.0,0.1773
Math_92,3,3,0.9244,0.317,0.0,0.3219
Math_93,3,3,0.759733,0.496767,0.0,0.4007
Math_98,2,1,0.4514,1.0,0.25,0.1564
Math_99,2,1,0.9106,0.5947,0.0,0.3754
Mockito_10,3,3,0.985933,0.535933,0.0,0.5801
Mockito_14,4,6,0.89345,0.859733,0.266667,0.7337
Mockito_15,2,1,1.0,0.81,0.0,0.5614
Mockito_16,3,3,0.911567,0.937567,0.4,0.7631
Mockito_17,4,6,0.962283,0.82845,0.333333,0.815
Mockito_19,9,36,0.917928,0.934214,0.243056,1.0507
Mockito_2,3,3,0.947033,0.382067,0.0,0.3955
Mockito_20,2,1,0.9692,0.6826,0.0,0.4586
Mockito_21,2,1,0.8928,0.0,0.0,0.0
Mockito_23,5,10,0.94535,0.41932,0.0,0.6523
Mockito_25,5,10,0.9785,0.33808,0.0,0.5339
Mockito_3,2,1,0.6917,0.5377,0.0,0.2578
Mockito_30,2,1,0.9475,1.0,0.7143,0.5317
Mockito_31,2,1,0.9939,0.6496,0.0,0.4475
Mockito_32,2,1,0.9927,0.7274,0.0,0.5005
Mockito_35,3,3,0.369567,0.6609,0.0,0.2683
Mockito_36,2,1,0.988,0.5,0.0,0.3424
Mockito_4,3,3,0.659533,0.682033,0.0,0.4681
Mockito_6,20,190,0.536172,0.316536,0.0,0.4665
Mockito_9,2,1,0.9888,0.5253,0.0,0.36
Time_1,2,1,1.0,1.0,0.375,0.4043
Time_10,2,1,0.9917,0.4206,0.0,0.2891
Time_12,4,6,0.648433,0.802533,0.190467,0.4187
Time_13,3,3,0.956733,0.593233,0.0,0.6217
Time_2,3,3,0.943067,0.938933,0.25,0.6818
Time_23,2,1,0.7112,0.2978,0.0,0.1468
Time_26,8,28,0.472111,0.808121,0.174107,0.613
Time_3,10,45,0.3394,0.6295,0.0,0.4919
Time_6,3,3,0.590933,0.8166,0.0,0.5221
Time_9,3,3,0.965333,0.297967,0.0,0.3134
